name,type,start_time,duration,"identifier","num_data_bytes","data","crc","ack","remote_frame"
"CAN","identifier_field",3.80750025,5.6e-05,0x0000000000000602,,,,,
"CAN","control_field",3.80756025,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",3.80757625,3.2e-05,,,0x23,,,
"CAN","data_field",3.80761225,3.2e-05,,,0x41,,,
"CAN","data_field",3.80764825,2.8e-05,,,0x23,,,
"CAN","data_field",3.80768025,3.2e-05,,,0x00,,,
"CAN","data_field",3.80771625,2.8e-05,,,0xCC,,,
"CAN","data_field",3.80774825,2.8e-05,,,0xB6,,,
"CAN","data_field",3.80778025,3.2e-05,,,0x09,,,
"CAN","data_field",3.80781625,3.2e-05,,,0x00,,,
"CAN","crc_field",3.80785225,5.6e-05,,,,0x000000000000675F,,
"CAN","ack_field",3.80792025,4e-06,,,,,true,
"CAN","identifier_field",3.80797244,5.6e-05,0x0000000000000581,,,,,
"CAN","control_field",3.80803244,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",3.80804844,2.8e-05,,,0x60,,,
"CAN","data_field",3.80808444,3.2e-05,,,0x41,,,
"CAN","data_field",3.80812044,2.8e-05,,,0x23,,,
"CAN","data_field",3.80815244,3.2e-05,,,0x00,,,
"CAN","data_field",3.80818844,3.6e-05,,,0x00,,,
"CAN","data_field",3.80822844,3.2e-05,,,0x00,,,
"CAN","data_field",3.80826444,3.6e-05,,,0x00,,,
"CAN","data_field",3.80830444,3.2e-05,,,0x00,,,
"CAN","crc_field",3.80834444,5.6e-05,,,,0x000000000000623D,,
"CAN","ack_field",3.80840844,4e-06,,,,,true,
"CAN","identifier_field",3.8084605,5.6e-05,0x0000000000000582,,,,,
"CAN","control_field",3.8085205,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",3.8085365,2.8e-05,,,0x60,,,
"CAN","data_field",3.8085725,3.2e-05,,,0x41,,,
"CAN","data_field",3.8086085,2.8e-05,,,0x23,,,
"CAN","data_field",3.8086405,3.2e-05,,,0x00,,,
